"date","Pa","Rn","Tavg","Tmax","Tmin","U2","q","PET"
1979-04-06,93.8175,40.0020580291748,0.355500793457054,1.05001220703127,-0.850012207031227,2.94276803490534,0.00416025007143617,0.58717997708759
1979-04-07,93.685,35.019079208374,-4.6419967651367,2.14998779296877,-7.44998779296873,3.75754224513414,0.00261200004024431,0.619555061537394
1979-04-08,93.72,80.3226881027222,-7.56574859619138,-2.54999389648435,-11.65,2.48881677951139,0.00206900006742217,0.987269018955318
1979-04-09,94.0625,81.7441120147705,-9.08475341796873,-4.94998779296873,-12.65,2.74850075807577,0.00179149999166839,0.960758803613874
1979-04-10,94.5625,106.055253982544,-7.79625549316404,-4.64999999999998,-9.7500061035156,3.47367402048758,0.00196499997400679,1.30737472085288
1979-04-11,95.9,74.31667137146,-6.65600433349607,-2.2500061035156,-11.15,2.03119411609455,0.00212200000532903,0.96534822760183
1979-04-12,95.315,108.411385536194,-4.6827453613281,-1.2500061035156,-6.94998779296873,2.14565819181805,0.00247424998087808,1.4783519096603
1979-04-13,93.565,54.1861646175385,-2.62349548339841,-1.54999389648435,-3.94998779296873,4.09731321458182,0.00321049994090572,0.816944303339035
1979-04-14,94.235,59.3836455345154,-3.0532516479492,-0.250006103515602,-6.04999389648435,2.27427481451556,0.00311074999626726,0.82196390320331
1979-04-15,95.1875,63.444709777832,-3.59224548339841,-1.14999999999998,-8.04999389648435,1.7444918714138,0.00298200000543147,0.830354388421084
1979-04-16,95.51,65.9771671295166,-6.14124908447263,-0.149999999999977,-12.9499877929687,1.5596830211699,0.00246625000727363,0.757227843770331
1979-04-17,95.275,81.1867198944092,-7.3972457885742,0.450006103515648,-17.65,0.910274118494995,0.00242799997795373,0.795808185153614
1979-04-18,94.96,107.389860153198,-2.4639953613281,2.85000000000002,-8.2500061035156,1.39353101484253,0.0032040000660345,1.46477150113646
1979-04-19,95.08,58.3052825927734,-1.63799896240232,2.95000610351565,-5.94998779296873,1.10076971288523,0.00311024999246001,0.954290098635052
1979-04-20,94.4025,143.692840576172,2.81324920654299,9.14998779296877,-0.350012207031227,1.7545497404439,0.00331050000386313,2.96406579037947
1979-04-21,94.5925,61.0697383880615,-1.42399444580076,2.55001220703127,-5.64999999999998,2.12336069203685,0.00351424998370931,0.889636735324688
1979-04-22,95.1275,124.314787864685,-0.551000976562477,5.05001220703127,-3.64999999999998,1.49639444708379,0.0033129999646917,1.97623934538994
1979-04-23,95.5,113.348070144653,-0.631498718261696,4.95000610351565,-4.94998779296873,2.60199283528371,0.00240499994833954,2.37475268818894
1979-04-24,95.71,139.135599136353,-0.722998046874977,2.85000000000002,-4.85001220703123,2.63144366505975,0.0022247500019148,2.82035131180827
1979-04-25,95.685,144.537929534912,2.6559997558594,7.95000610351565,-3.04999389648435,1.72166081436142,0.00315674999728799,2.97224051781672
1979-04-26,95.2675,144.379665374756,4.38375244140627,12.2499938964844,-1.54999389648435,0.961686025211728,0.00343724997946993,3.05123070028568
1979-04-27,94.655,148.18293762207,6.54725036621096,13.0500122070313,0.450006103515648,1.91965772679849,0.004742749966681,3.30305880469875
1979-04-28,94.6475,121.221458435059,7.41849670410159,13.9500061035156,2.05001220703127,1.41195211877133,0.00487100007012486,2.86030693820619
1979-04-29,94.6525,130.542571544647,6.09400329589846,13.1499877929688,2.85000000000002,1.07675643441084,0.00515600002836436,2.63503270847176
1979-04-30,94.495,38.4903411865234,2.71449432373049,7.35000000000002,-2.54999389648435,1.27655921382389,0.00419325014809147,0.861825044559837
1979-05-01,93.865,147.210781097412,5.10749969482424,13.35,0.0500122070312727,1.25175732444343,0.00356400001328439,3.28948923803607
1979-05-02,93.515,129.884700775146,7.69224700927737,11.6499877929688,3.64998779296877,1.93858116848908,0.00500124995596707,3.16285226486309
1979-05-03,93.4075,128.397102832794,10.5562454223633,16.9500061035156,7.85000000000002,3.69676384486721,0.00527850002981722,4.16454916334469
1979-05-04,94.2325,110.439157485962,2.95074615478518,9.35000000000002,-3.64999999999998,2.20360401296286,0.00197925002430566,3.15005342739316
1979-05-05,93.9975,95.4709053039551,1.53849945068362,6.85000000000002,-4.85001220703123,2.28934637129705,0.00208249996649101,2.64089711454612
1979-05-06,94.2425,149.046867370605,1.30449829101565,6.2499938964844,-6.04999389648435,1.97542616861061,0.00207474996568635,3.3291301996029
1979-05-07,93.455,146.835469245911,4.65324554443362,11.1499877929688,-0.549993896484352,1.6034771940354,0.00353200011886656,3.29535024923912
1979-05-08,93.37,46.3450393676758,-1.18949737548826,2.7499938964844,-3.64999999999998,4.33977240967178,0.00299999996786937,1.20434544927036
1979-05-09,94.1625,103.981914520264,-0.425993347167946,3.14998779296877,-3.44998779296873,3.1131296269382,0.00306925002951175,1.99860544497624
1979-05-10,94.5725,153.883121490479,-0.131254577636696,5.7499938964844,-8.64999999999998,1.51863881788741,0.00284274993464351,2.68766379556494
1979-05-11,94.4425,143.773872375488,4.88050231933596,10.1499877929688,-2.35001220703123,1.99532757451705,0.00425424997229129,3.05972900289203
1979-05-12,94.9175,168.110614776611,9.74300537109377,14.35,3.2499938964844,2.77796263044195,0.00482150004245341,4.63485006201471
1979-05-13,95.2325,143.349540710449,11.3729949951172,17.6499877929688,5.45000610351565,3.33114022739572,0.00515700003597885,4.59966106798967
1979-05-14,95.2025,161.626850128174,12.2850051879883,20.35,4.85000000000002,2.41800983441685,0.00414875010028481,5.28445846410489
1979-05-15,95.1625,161.097099304199,13.4624954223633,22.0500122070313,4.55001220703127,1.2705638368965,0.00361050007632002,5.13614465130972
1979-05-16,94.7275,167.051830291748,13.4234939575196,22.35,6.05001220703127,1.30981915799016,0.00420824997127056,5.1288641275904
1979-05-17,94.245,171.245868682861,15.2279983520508,24.35,4.7499938964844,1.47363321757437,0.00321499997517094,5.92802059207407
1979-05-18,94.145,159.551498413086,17.1562515258789,25.2499938964844,9.05001220703127,1.94621344227229,0.00331250001909211,6.32392613800683
1979-05-19,93.6425,170.133689880371,16.2687469482422,26.35,9.05001220703127,2.54790486197287,0.00603724998654798,5.91096167675534
1979-05-20,94.5125,122.266487121582,10.4895034790039,16.9500061035156,0.550012207031273,1.66770646908839,0.00352199998451397,3.9864628525513
1979-05-21,93.98,153.018127441406,16.7414947509766,24.1499877929688,11.0500122070313,1.91723030013608,0.00349975004792213,6.01983893843155
1979-05-22,93.4525,123.293436050415,16.9554992675781,32.35,5.45000610351565,3.81114610400644,0.00417200004449114,6.35294806865852
1979-05-23,94.4275,171.883655548096,13.3577514648438,22.2499938964844,6.05001220703127,1.5932762891103,0.0033782499958761,5.59366061577753
1979-05-24,95.0125,175.620964050293,13.6989990234375,20.2499938964844,4.45000610351565,1.6081644002256,0.00337275001220405,5.74702034305557
1979-05-25,94.22,157.300045013428,21.7332473754883,28.7499938964844,17.1499877929688,2.69368916396183,0.00361924996832386,7.69369679204315
1979-05-26,94.7175,165.514682769775,14.4852462768555,25.6499877929688,2.85000000000002,2.21567440085372,0.00415299995802343,5.79526909488606
1979-05-27,94.3325,187.36434173584,15.8637481689453,22.1499877929688,9.7499938964844,2.2788802282569,0.00252474995795637,7.14925545442781
1979-05-28,95.0625,188.97424697876,14.7522521972656,20.6499877929688,8.35000000000002,2.19992429437583,0.00317225005710497,6.67574208188538
1979-05-29,94.5075,170.966075897217,18.9772506713867,24.7499938964844,11.35,3.14283094340615,0.00363849999848753,7.74025523760349
1979-05-30,94.425,167.285299301147,18.0627456665039,32.35,9.14998779296877,0.74263524857792,0.00572900008410215,5.39436036871865
1979-05-31,94.835,122.511703491211,17.6812454223633,25.5500122070313,5.64998779296877,1.07410173773603,0.00615374988410622,4.35525264341031
1979-06-01,94.4875,155.929075241089,20.4072509765625,29.85,13.4500061035156,1.42843021210242,0.00513875007163733,6.07996209708293
1979-06-02,94.79,135.602615356445,15.313005065918,29.35,9.85000000000002,1.37527481339611,0.00744900002609938,4.02832658874754
1979-06-03,94.6275,97.1334928683937,14.9907546997071,20.85,8.14998779296877,1.5101798419098,0.00601599994115531,3.51777169811549
1979-06-04,94.78,203.584309300408,15.3239990234375,23.7499938964844,7.05001220703127,2.45901941095814,0.0047062499797903,6.79367713918502
1979-06-05,94.5875,164.145245395601,12.1822448730469,17.7499938964844,2.7499938964844,1.82443822329979,0.00365499989129603,5.21724518381402
1979-06-06,94.415,79.7713962029666,11.4367462158203,20.1499877929688,-0.850012207031227,2.62604260270173,0.00434375007171184,3.41733803937739
1979-06-07,94.87,170.068519158289,11.9432540893555,16.7499938964844,5.95000610351565,2.27928538639339,0.00465725001413375,5.14318425573704
1979-06-08,95.2,126.985939946026,12.1670013427735,18.35,2.64998779296877,1.95161122370944,0.00395949999801815,4.38937054031553
1979-06-09,95.275,193.104901954532,14.8222442626953,21.5500122070313,5.2499938964844,1.62100270397727,0.00399924995144829,6.19947996169099
1979-06-10,94.3725,169.101160846651,20.7234970092774,28.7499938964844,14.5500122070313,1.31702661479273,0.00398999993922189,6.61943012400663
1979-06-11,94.355,146.415949232876,13.0522399902344,22.6499877929688,4.2499938964844,2.0159661260815,0.00714899995364249,4.01290943112889
1979-06-12,94.505,155.292204268277,17.1457382202149,23.9500061035156,10.2499938964844,1.50314958793844,0.00811149994842708,4.76508265438907
1979-06-13,94.4125,123.435506630689,13.5107513427735,24.85,5.05001220703127,1.18515466332366,0.00743700016755611,3.35155479750006
1979-06-14,94.44,90.9815719947219,13.6995025634766,18.0500122070313,11.2499938964844,1.8679775411722,0.00976900011301041,2.1427951639609
1979-06-15,94.82,23.6757765673101,11.1212478637696,14.1499877929688,8.2499938964844,1.85953982108775,0.00794350006617606,0.725267372713466
1979-06-16,95.2825,141.751080043614,16.776498413086,22.6499877929688,7.85000000000002,1.9135643364637,0.00537175009958446,5.2385979995948
1979-06-17,94.915,195.870353072882,18.9635025024414,26.2499938964844,11.4500061035156,1.5453867670627,0.00598775001708418,6.64196152607006
1979-06-18,94.2325,181.974167790264,20.5337463378906,30.6499877929688,10.0500122070313,1.73537823464979,0.00645350001286715,6.66201017633566
1979-06-19,94.0275,190.220051053911,18.7074981689453,27.1499877929688,12.7499938964844,1.29001998368289,0.00933425012044609,5.61593334842406
1979-06-20,93.59,158.634827390313,18.9507461547852,29.0500122070313,9.95000610351565,2.6602320976937,0.00725674978457391,6.01109887107954
1979-06-21,93.8975,135.472222782671,18.151498413086,24.1499877929688,12.5500122070313,2.16461868689036,0.00892749987542629,4.56402777307265
1979-06-22,94.7225,157.746313266456,15.4314971923828,22.7499938964844,8.35000000000002,2.05067756241031,0.0059262498980388,5.2158673419074
1979-06-23,94.7075,196.507292591035,20.8792510986328,27.85,10.85,1.2322890878201,0.00698625005315989,6.68233132495826
1979-06-24,94.5125,173.026687122881,23.9117446899414,35.6499877929688,14.85,1.08934699235476,0.007292750175111,6.53390261439626
1979-06-25,94.4775,145.317700870335,19.6929946899414,29.7499938964844,13.7499938964844,1.47309115161002,0.0105582501273602,4.537377000709
1979-06-26,94.325,104.889227084816,15.5394912719727,22.1499877929688,8.35000000000002,2.47226027439831,0.00645074993371964,4.06504321004795
1979-06-27,94.18,109.559026882052,14.7360015869141,21.4500061035156,11.0500122070313,2.91553962407136,0.00701875006780028,3.93210292821507
1979-06-28,94.7125,44.9474831838161,11.995751953125,14.2499938964844,9.95000610351565,2.1602710819147,0.00820900034159422,1.28142669003422
1979-06-29,94.75,126.68345579505,16.0242553710938,20.1499877929688,7.55001220703127,1.42842364623385,0.0066410000436008,4.19155257020247
1979-06-30,94.4925,141.694269664586,18.9745040893555,25.4500061035156,14.4500061035156,1.52117707553846,0.00638224999420345,5.24164838254034
1979-07-01,94.735,127.069275632501,18.4407440185547,25.7499938964844,9.14998779296877,1.64487272510062,0.00805025012232363,4.44560506774757
1979-07-02,94.9575,189.52152325213,21.0745025634766,27.6499877929688,10.1499877929688,1.72229731151869,0.00697799993213266,6.833532692277
1979-07-03,94.5125,192.26411061734,23.6262527465821,32.2499938964844,14.6499877929688,1.43365099086946,0.00698074989486486,7.27072752438552
1979-07-04,93.77,180.764346208423,25.6867538452149,34.6499877929688,17.4500061035156,1.72856945571432,0.00737450004089624,7.53025453821954
1979-07-05,93.86,89.9163378998637,19.4479995727539,28.9500061035156,14.7499938964844,2.62333976864613,0.00815700006205589,4.17916098879464
1979-07-06,94.2125,196.362745217979,16.7662521362305,24.9500061035156,5.85000000000002,1.18909965866052,0.0048975000390783,6.24359316473292
1979-07-07,93.8675,181.450125779957,19.9557510375977,32.4500061035156,6.95000610351565,0.86118126787274,0.00607124995440245,6.09199657275885
1979-07-08,94.075,148.341326799244,20.709245300293,29.6499877929688,10.5500122070313,1.82334890173314,0.00831824983470142,5.49042376483607
1979-07-09,94.4375,188.535259056836,19.3495040893555,29.2499938964844,9.85000000000002,1.71084642316342,0.00588999991305172,6.67517854538756
1979-07-10,94.5275,171.41234434396,21.3902526855469,29.2499938964844,11.6499877929688,1.92334069848651,0.0066400000359863,6.65480386587398
1979-07-11,94.27,158.173653569072,23.6745010375977,31.35,15.1499877929688,1.81455234549828,0.00627975002862513,6.80345495389983
1979-07-12,94.0525,169.22214532271,22.4557510375977,31.5500122070313,15.6499877929688,2.19749528333014,0.00877224991563708,6.51194881404369
1979-07-13,94.0775,137.567418497056,19.9869934082031,25.6499877929688,14.7499938964844,2.0508992092948,0.0119775000493973,4.25029547918202
1979-07-14,94.4175,72.1514919623733,20.93349609375,26.5500122070313,14.4500061035156,1.93660068492894,0.0097505000885576,3.35181013580474
1979-07-15,94.625,183.342265648767,19.8539978027344,31.1499877929688,12.0500122070313,1.82278215351286,0.00748475000727922,6.3427098744927
1979-07-16,95.1925,147.58221706003,14.1425033569336,19.2499938964844,6.05001220703127,1.9797192785458,0.00596974999643862,4.63645738117257
1979-07-17,95.0425,178.906680505723,14.7022491455078,22.5500122070313,5.7499938964844,1.0365059043936,0.00486125005409122,5.34751982964054
1979-07-18,94.755,111.648094853386,15.8042541503906,21.35,10.4500061035156,0.82185288342883,0.00554925005417317,3.7921934631258
1979-07-19,94.635,147.480431279168,16.5065017700196,24.35,9.45000610351565,1.21526960066304,0.00594599999021739,4.83620938292001
