date,U2,Rn,Pa,q,Tair,PET
2017-10-08,0.78283327592208,24.368858337402,96.173333984375,0.0026381952338852,0.41717681884802,0.823518367796738
2017-10-09,1.17290459649809,25.04838180542,96.28540625,0.00247296685120091,-0.39507141113296,0.875250247847957
2017-10-10,0.186298426891087,30.942264556885,95.8321171875,0.00255703052971512,0.0460296630860171,0.806765161017763
2017-10-11,0.169075378713167,33.943447113037,95.214607421875,0.00298730970826,0.251176452637026,0.761880107733911
2017-10-12,0.678632714298162,19.603496551514,94.7421640625,0.00260699895443395,-1.23454132080099,0.609037177472005
2017-10-13,1.10852533432667,15.558113098145,94.869927734375,0.00214425078593194,-3.95781555175796,0.529309302264014
2017-10-14,0.858036402597769,15.177772521972,95.269111328125,0.00214572565164417,-2.58385314941398,0.608927983910272
2017-10-15,1.00651380612835,21.076694488525,95.266966796875,0.00252424780046567,-1.33009185790996,0.688346029492652
2017-10-16,1.26842717027868,-2.45784759521496,95.784619140625,0.00216548901516944,-4.60353698730495,0.253828620887609
2017-10-17,0.647672326089094,16.51142501831,95.553576171875,0.00206647341838107,-4.534147644043,0.465130740121386
2017-10-18,0.689459012850166,1.10096740722696,94.970212890625,0.00252664455911145,-3.762121582031,0.185852792633257
2017-10-19,0.55987710456668,-7.96829605102505,94.734943359375,0.00262504836427979,-3.740484619141,0.0357841813203663
2017-10-20,2.00034752752518,-18.610569000244,95.2997734375,0.00139085267437622,-8.81054534912096,0.198234360460789
2017-10-21,1.69726462470636,-22.748920440674,95.51428125,0.00101306824944913,-11.143560791016,0.185119294144092
2017-10-22,1.11752173572052,-2.91279602050804,95.33228125,0.00190476232091896,-5.094885253906,0.307282840075725
2017-10-23,1.1204615199139,-4.16917800903298,94.492615234375,0.00320959486998618,-0.340040588378997,0.201403249185778
2017-10-24,1.4939599551291,-19.720916748047,94.689857421875,0.0026604481972754,-1.50712432861297,0.127628150215071
2017-10-25,0.48775397936772,-17.985324859619,94.983220703125,0.00204107176978141,-3.83359374999998,0.0846520211086708
2017-10-26,1.00118170595974,-5.49930191039999,94.691205078125,0.00241577537963167,-3.53718414306599,0.187747898724156
2017-10-27,1.21735557396736,13.566722869873,93.968572265625,0.00298738083802164,-2.15458526611297,0.363441079693927
2017-10-28,2.1456451116219,-32.4493713378899,94.812689453125,0.00174056857940741,-6.262121582031,0.0752365187246277
2017-10-29,1.2765881200859,-33.151885986329,94.9231640625,0.00165825372096151,-7.30275573730495,-0.0529979651740211
2017-10-30,0.350564799899107,-18.8229675292969,94.446076171875,0.00185870743007399,-6.13034667968697,0.00215345537582123
2017-10-31,0.722425622758674,-13.1849708557129,94.08966015625,0.00226217432646081,-6.02011718749998,-0.0359309047009039
2017-11-01,1.34273798285321,-34.745876312256,94.73823046875,0.001779907674063,-7.73854675292995,-0.145277982412295
2017-11-02,1.1624332851233,-46.536338806152,95.489357421875,0.00116338062798604,-11.641989135742,-0.168695118391342
2017-11-03,1.31022972104701,-33.250316619873,94.915501953125,0.00111825598287396,-11.656698608398,-0.0219885576370726
2017-11-04,1.05053945038057,-5.931846618652,94.111470703125,0.0018459546554368,-7.34167327880897,0.13737674023073
2017-11-05,1.37640171223765,-36.440383911133,94.005291015625,0.00271060288650915,-2.683317565918,-0.222750978187344
2017-11-06,1.19876315846752,-49.241847991944,94.765306640625,0.00187639601062983,-6.341413879394,-0.277164216196657
2017-11-07,0.893222709085734,-35.547092437744,94.802185546875,0.0015718835638836,-7.86627807617197,-0.106350328214472
2017-11-08,0.872041799883716,-8.93093109130797,94.624841796875,0.00209002455812879,-6.02937164306599,0.0798729333803799
2017-11-09,0.81364928806471,-13.139987945557,94.76953515625,0.00238388910656795,-5.18996276855495,-0.0273188974773818
2017-11-10,1.11130823414868,-51.371604919434,94.87990625,0.0014924147981219,-9.659132385254,-0.289158794721291
2017-11-11,0.594223427319089,-29.619686126709,94.293384765625,0.00143565709004179,-9.77744903564496,-0.099901902990564
2017-11-12,1.96138989244472,-6.53381729125999,94.2940859375,0.00156132504343987,-10.160772705078,0.113307421367959
2017-11-13,1.9161839978432,-42.321182250976,94.443921875,0.00124973466154188,-11.301374816895,-0.105537781414107
